mode;id;GAE Title;GAE Story;;;;;;;;;
1;482310528;A Dream;"A little girl named Sweety lived in a big village with her parents and grand parents. She was 7 years old and had a little brother named Shaun aged three. Three loved her family and the little puppy and kitten who kept her company wherever she went. She would always play in the tiny beautiful garden full fresh flowers and she watched with pleasure the colorful butterflies. She loved to go to the town in their car with her family. She loved how it ould come to life and be like one of them taking them to their destination. One day while sitting under s rose bush and watching butterflies she heard a strange sound and looked up to see a sea-plane; she thought it was a car that could fly. She was fascinated by it and dreamed of one day flying high in the sky in that flying bird.She ran inside and was telling her grandma how she would love to fly in it or even fly it like her dad drives the car.Her grandma had flown before and she explained how wonderful it was to go up in the sky and how tiny and beautiful the earth looked from the top. The next day when her dad took them all for a ride in a small boat in the river, Sweety was thrilled to see the 'large flying bird' - now she knew it was the sea-plane- sitting calm on the river.So she told her dad of her dram too. On their way back from the boat ride they saw the pilot of the plane coming their way; so her dad greeted him and came to know he would be around in their village for a week more on business. The pilot Mr. Nash noticed Sweety's fascination and glee on being able to touch the plane. He thought of his little son her age, Deon who also loved planes and being taken for even a short ride would make him thrilled. Mr. Nash suggested that their family could join him on a sea-plane ride to a little island close by and they could spend the day there collecting shells and swimming and return for evening tea.So they all bundled into the plane and there were no words for Sweety to explain the thrill of the ride. Her family had packed two large picnic baskets and had loads of fresh tasty home made food and drinks. They spent a lot of time swimming, collecting lovely shells, admiring the variety of unseen plants and flowers . They had their fill of the tasty food and by evening they were back home . Their maid Mrs. Mcdermot had steaming tea and hot scones, shortbread and other delicacies ready for them. After tea it was time for Mr. Nash to leave and dad presented him with a quaint crafted wood decorative piece for his home. He was vdery glad to have made friends with Sweety and her family and promised to meet up with them whenever he visited their village.He would bring his wife and son too; Sweety's family was invited over to visit him in the big town not very far from the village where he lived. So they all said bye to Mr. Nash and he flew off into the sky and they watched him till became a glowing spot on the horizon ad into the sun set.";Masks;robots;armor;cartoon characters;1;zoology;nature;art;articles
1;530220088;torry down;;good;super;ok;fine;1;nice;favorable;good one;ok
1;587885749;Screen Savers;According to me each and every person in the world uses computer in the form of Desktop or Laptop.On day to day basis we use computer for various purposes.So while we start our computer the window first appears makes us feel good. So we use lot of images as wallpaper to set our mood and from that on we used to work and proceed the day. So this kind of wall papers or images make us feel better and there are lot of categories to select and they range from flowers to animals and various other images.;Zombie;Poppy's;Cartoon;;1;Butterfly;horse;Wallpaper;Skins
1;726017575;How did I get here?;I am writing this story so that there may be some record of what we did. I am the last survivor, and I fear I don't have long to live. It started out so innocent. We set out from Denshy, a shipload of the last defenders, and as many civilians as we could carry. The voyage was long, the weather seemed to get colder as we sailed south. It was a three week voyage, most of the time the sun did not shine. The day we should have made landfall, a fierce ice storm struck. The winds blew us off course, the ice built up in the rigging, until the frozen ropes snapped, and the timbers came crashing to the deck. We watched helpless as the storm drove our vessel towards the icy coast. the ship was tossed onto the rocks. Most of the passengers and crew drowned. It turns out they were the lucky ones. Frozen to the core, wind and frost bit, I found myself lying on the ground. I did what I could to help the other survivors, but without shelter, most were doomed. I cold gray dawn found only 6 of us left, 36 people had gone down with the ship, of froze to death overnight. We knew the village was to the east of us, all we had to do was keep from freezing, and make our way through the mountains. The wind sucked what little warmth we could generate from our bodies faster than we could make it. At mid day the first attack occurred. A pack of the fierce mountain yeti swooped down from a pass, dragging off two of the men. At dusk, they returned killing another. I huddled with the other two survivors through the long night, knowing we were doomed. In the morning I found that my two companions had perished. Frozen together, and stuck to the ground. I groaned as I rose and resumed my trek towards safety.;catroonish;robots;colorful;funny;1;artistic;varied;interesting;colorful
1;776927596;deaf student;some people are deaf there big problem his learning his lesson,;that is mustlly rite robbot. i like it;that is mustlly rite robbot. i like it;that is mustlly rite robbot. i like it;that is mustlly rite robbot. i like it;1;horse is verry beuttiful;horse is verry beuttiful;horse is verry beuttiful;horse is verry beuttiful
1;819563195;Midas and the golden touch;Once there lived a greedy man called Midas. He is a rich man. But still he wants to become more rich. He went to a saint and requested him to grant a boon that whatever he touches should become gold. The saint warned him but still he wants to acquire more gold because of his greediness. But he didn't think of the consequences. After a long advice the saint gave him the boon that whatever he touches will become gold. with full of joy, he returned home and first touched the plants in his garden, it became gold. he was very happy. He started to touch one by one and everything became gold. His joy knew no bounds. With full joy, he went to the dinning table and touched the food, it turned gold. he was neither able to ear anything nor drink anything as everything became solid gold. he was starving for food. During that time, his only daughter came running to him to hold him, he said no no don't touch me. But to his shock, she also turned gold. Midas understood his foolishness and went running to the saint and asked him to take the wish back. Saint also understood his feelings and took back the wish. He went home and touched everything to make them to its original state and also got back his beautiful daughter. From that time on, he lead a very happy life.;robot;electronic instrument;a dish antenna;satellite channels;1;nature;beauty;scenaries;imaginative pictures
2;123484477;;;;;;;1;;;;
2;441732782;;;robotic;space;colorful;wacky;1;organic;eclectic;colorful;dreamlike
2;518161669;character;"Stories with significance have theme and meaning. A character-based story, where coincidental happenings and fatalistic plot progression is secondary to character strengths and weaknesses, is one way, if not the best way, to achieve this. For most writers, the meaning of a character-based story is vague. A genre writer, dependent on plot twists and surprises that characters live and react to rather than effect, would believe characters in a mystery, suspense or thriller story, especially superheroes, would qualify as ""character-based."" Batman saved Gotham City. What can be more character-based than that? But the emphasis is different when trying to achieve meaning, theme, and enlightenment with a story. In this type of story, the plot actions are driven, or at least affected, by the character's human characteristics . . . the foibles, flaws, or special gifts, usually related to goodness. Of course, Batman is a good guy with special (superhuman) gifts. But his humanity has little to do with saving the city. Instead, evil threatens the city and he happens to be in the right place at the right time to prevent destruction. He is a creature of the plot rather than the heartbeat. Here is a story that has lasted for hundreds of years. It will serve as an example to clarify the meaning of character-based story. Once upon a time, in a village near the deep dark woods, Little Red Riding Hood wanted to take Grandma, who was very ill, a basket of goodies. She would have to walk through the woods for half an hour to get to Grandma's house, which was in another village. 'Be careful,' her mother said. 'Go straight on the path and do not talk to strangers.' So Little Red goes into the woods and meets a wolf who wants to eat her but can't because there is a woodsman nearby. The wolf asks her where she's going, whom she will visit, and where. Red tells all. The wolf runs off and Red continues her journey, leaving the path to chase butterflies, and pick bluebells, and dip her toe in a cold refreshing stream. When she gets to Grandma’s house, the wolf has already arrived because she failed to heed her mother's warning about staying on the path. He imitated Red's voice to gain entrance, and he devoured Grandma. Then he dressed in her night clothes and crawled in bed under the covers. Little Red arrives. He tells Little Red to come in. As the wolf exposes himself little by little, Red listens to his smooth talk when she asks him about his big eyes, hairy arms and big teeth. Unsuspecting, she gets in bed and he devours her. What has held this story in the collective consciousness of humans for centuries? First, it carries three significant messages. Listen to your parents. Innocence and naïveté can cause irreversible harm. Don't trust a wolf in grandma's clothing . . . you can get devoured. There is also the effective metaphor of the wolf for a child predator. But the significance of the story is mainly carried by the narrative story structure. Little Red is a character-based story. The plot moves forward because of Red's human characteristics — especially her human foibles: she holds onto her childhood innocence, and she disobeys her mother. This story could be framed as genre fiction. It could still be interesting, but it might not be as lasting because of the structure. Here is a possibility. Red Riding Hood is kidnapped from the woods near her house. A few hours later some bones and scraps of skin are found at her grandmother's house a mile away. The police are called and discover from the gray hairs trapped in grandma's hand-woven throw rug that the wolf did it. The wolf escapes. Red's mother grieves. This version is a statement of happenings. Red is a part of the plot, but she is not driving the plot with her disobeying her mother and her wallowing in her innocence . . . and also the author would lose the effectiveness of the wolf metaphor when the story moves from fantasy to a more reality-based police procedural. Here is another genre framework for the story. An action-adventure genre story. Something like this.";some of the image looks like robots;image which has antenna in their head looking nice;the colour of the image also looking good to see ;all the image only having the head portion;1;the natural scenery pictures are looking nice;some images are drawn and taking photo naturally;all the image have some creative idea;the shown above are different from one another
2;624441285;Who am I;I am good as you wish.. I didn't smoke. I have the habit of drinking alcohol sometimes...I always seems to be good and gentle...I like friends with good chat.. My family is good..My wife loves me always....Me too.. And my relatives are always good.. My job is somewhat settled...I am in Education environment...I have more time to spend to update my knowledge...;Doll;Robot;Magic;Joy;1;Art;fashion;Model;Creativity
2;651995388;Night Visitor;"The workers hurried -if you call taking a good nine hours hurrying-to uncrate the ancient skull found in the field some days ago. The hours drained away. At long last, the final particles of plaster were blown away using a jet of air from a canister. The skull was mounted on the stand in preparation for the professors visit. The door creaked and the frail man in the wrinkled coat shuffled in. ""Columbo?""the cheeky graduate student whom the old man cherished quipped. He ignored the remark and went straight to work. After a cursory examination he wrote down a few notes in the book he always kept nearby. Finally he came back to the students, scientists and other interested parties who had gathered here to get his opinion on this remarkable find. ""Gentlemen...and ladies, what we have here is...."". His eyes grew wide and he clutched at his heart. The next moment he was on the floor dead. The grad student raced to his aid but it was too late. ""Never mind that...The book, what did he write?"" Someone retrieved it and started laughing. Inside the professor had written ""Fruit, butter, one dozen eggs, a gallon of milk and Ding Dongs.""";emoticon;avatar;smiley;robot;1;clip art;stock photo;.jpg;.png
2;657207656;The Tutle;There once was a turtle named turtle. He was killed in a car accident. The end.;a;b;c;d;1;a;b;c;d
2;749417347;;;Post Box;Antenna;Mobile Phone;Table Fan;1;Star;Butterfly;Horse;Love symbol
2;750598191;Alone girl in art gallary;I cant forget the moment I saw her alone in an art gallery, she is so polite and she was looking at paintings with deep patience. I found she is calculating and observing paintings. I was so attracted towards her and I was looking and searching for her when she stepped for another paintings. She was like a fairy with pleasant personality and smile on face. She spent about two hours in gallery and she was looking at all paintings. I found I am losing her after getting her. I felt like she is my soul and I can't live without her. I followed her when she stepped out from art gallery, she was wearing a red scarf in her neck with a nice white dress with colorful flowers on it. I was going behind her with a maintained distance. Suddenly a car hit her and she fall down on the road. I reached near her and she was in my hands and she said me good bye and pulled her red scarf and gave it to me and she closed her eyes for always. I cried a lot and I am keeping that red scarf with me till the date and searching her once again like she will come again to see my paintings.;It seems some robotic symbols;The alternative way to put your TV antina;It would be a nice corner showpiece;Best way to attract the people;1;The art is always alive;No way to ignore the art;Are you wishing to see the whole art;Get involved in the ocean of art
2;761962828;;;HAPPY;SURPRISE;FEAR;SHY;1;HAPPINESS;LOVE;UNIQUE;PAINTINGS
2;886980172;king and daughter;A king had a daughter. She dint had mother. he decided to conduct her marriage. all nearby princess were invited on the day of marriage all came. great party was made. all had food and got ready for game the one who win the game will marry the daughter simna. simna was very anxious. king asked to shoot at a fish which is rotating very fast in the pond. it was made artificially all failed. finally kiran came. he found the rotation method and shot correctly ay fish. king was pleased and married to daughter. they lived happily for ever;robot;box;head;antena;1;locket;dress;show;pictures
2;907976229;beautiful collections;The archeological team rushed to the forest the find a golden rod. the started to find it through forest then used horse on the way there was a snow. they stayed by forming tent. the started travel long time they joined in a party finally the got the gold.;Telecast;Robo;Radio;weak signal;1;Party;winter vocation;collections;Romance
2;946401448;;;Funny;nice;good;interesting;1;beautiful;peaceful;natural;calm
2;949725003;Art of life;The Art is very beautiful, One can't live the life without the Art because every thing in the life is a Art;Robot;Alien;imaginary machine;Cartoon;1;Design;Things;model;Art
2;949921285;Family Picnic;On a pleasant spring day, the animals in the woods decided to go for a picnic. “It’s a perfect day for a picnic,” said the fox delightedly. Soon the animals gathered with their food and the picnic basket was full. All the friends set off towards the meadow. On the way they came across a stream. “Let’s climb that log that has fallen across the stream,” suggested the fox. The animals were pleased with the idea and quickly the fox, the rabbits and the porcupine wobbled their way over the log. When the animals reached the meadow, they found the chipmunks had already reached with the basket and had laid out the picnic. “How come you two are here so early?” enquired the fox. The chipmunks grinned and said, “We noticed that the log was hollow so we scampered through it along with the picnic basket.” “That was clever!” said the rabbits. When the picnic was over, everybody crossed the stream through the hollow log without trouble this time.;Ugly;Robotic;fearful;Skelton;1;Homely;Loving;Animals;celebrations
3;91880527;;;AVITAR;EMOTICON;ROBOT;SILLY FACES;1;ARTISTIC ;CREATIVE;CRAFTS;HOBBY
3;138075190;;;cartoon;robots;machines;metal;1;nature;abstract;random;advertisment
3;146694839;;;;;;;1;;;;
3;161751961;A joke?;robby comes to and say he is very happy toby ask why? He said today is sunday. toby ask so what's in that. robby on sundays toby looks stupid.;Cartoon;Funny;laugh;LOL;1;Funky;Horse;Great;deep
3;186060570;;;ROBOT;MACHINE;ALIEN;CARTOON;1;HEART;HORSE;LOCKET;SHAVING MACHINE
3;270506518;Gimmick Jimmy;"Good old gimmick Jimmy hunted for classic robots. Always a fan of gimmicky gadgets, Jimmy loved to hunt for robots with gimmicky gadgetry. So one day he happened upon an orange robot with a knack for having an antenna as a hat which could receive radio transmissions from all over the galaxy with a click of a button. So with a quick tap on the button located on his back. This orange robot started broadcasting all the news from a planet far away from our own. Gimmick Jimmy happened to loved what he heard. ""What a gimmicky gadget!"" he exclaimed. ""So much neat news from so far away! I'll have to thank this robot by giving him a name!"". So the robot clicked and whistled and beeped a bit. Then Gimmicky Jimmy said ""I'll call you Whistle Pete cause I think your pretty neat.""";Avatar;Robot;Robo;Anime;1;Women;Jewelry;Flickr;Tumblr
3;351401510;post box;The conspiracy theorists say if you want to see some future tech you can stand in the desert at night and the sky may reveal the future to you... if you're standing at the Black Mailbox that is, along SR375 near Rachel, Nevada. (Southeastern Nevada between Crystal Springs and Warm Springs, sanctioned by Nevada as the Extraterrestrial Highway.) I knew nothing about this mailbox with a story until last month when I watched the 2011 comedy DVD Paul starring Simon Pegg (perhaps best known as Scotty on the newest Star Trek movie) and his screen partner Nick Frost, who is known to be quite funny.;letter box;robot;machine;smile;1;love;friend ship;happy;sad
3;442783179;Ringless;Forty-three-year-old Marie is tired. Tired of being married but alone, of being a mom, of doing the never-ending household chores, dealing with incompetent editors and deadlines (she is a freelance writer/editor), and worrying about finances and her family’s future. Her husband never touches her and is never affectionate, and she sadly thinks they are just like two friends or siblings who share a house. She loves her daughter though and would do anything for her. It’s just that after caring for this wonderful child for thirteen straight years without a vacation, and dealing with a “cold” and uncommunicative husband, she is drained and ready to throw in the towel. What she wants is change, specifically an improvement on her current situation of always having to sacrifice, do things, and prioritize others. Marie is tired of giving. She wishes that she can go on a vacation somewhere quiet and remote – even for just a weekend – where she doesn’t know anyone and wouldn’t have to worry about meals to prepare, clothes to launder, rooms to clean, broken things, bills to pay and stretching the budget. How she wishes that she could just leave. But having been raised in a Catholic household and educated by nuns and priests all her life, her strong sense of morality won’t let her. She knows it would be wrong to abandon her little family. Despite everything that has happened, she loves them and she has never forgotten the vows she made when she married her husband. One day, while playing a game of Words with Friends on her laptop, she meets an Australian named Daniel. Marie and Daniel talk everyday and become close. Daniel is divorced and has two teenage sons. He tells Marie that he wants to meet her and makes plans to visit her country in about six months. They shouldn't rush, he says. Marie’s husband has no idea at all that her wife has a new male friend and that she has special feelings for this guy. Marie’s daughter knows nothing as well about the new man in her mom’s life. Things proceed normally in Marie’s household even though Marie is excited and happy about her planned meeting with Daniel. She continues to talk to Daniel every day, but she sometimes wonders why they met and why Daniel likes her.;cartoons;robots;aliens;colorful;1;life;experiences;views;crafts
3;449946716;side stories;it consist of all around the pictures and images, it was looking at pretty to analyze one of the image.;It was different;variable sector;casual visiting;abserve knowledge;1;picture is nice;image is something differ;around all others;parciate one
3;498288640;;;Cartoon image;;;;1;cartoon image;;;
3;566986168;The Robot Wardrobe;U am a robot who likes to be the same, but different. I change my tin daily. If I see another robot with the same exterior, I go home and change. Narcissistic robots have this habit of caring too much about what others think. We also like attention. All attention. I am not just any old robot. I was born under the Leo sign, and I deserve all of the attention that I receive, because I have it like that. I feel sorry for those old gray, non shiny robots who wear the same dull metal on a day to day basis. Those types are kind of boring, avoid them. Unlike the rest of you, I don't need an antenna to catch your reception. Because I am a colorful robot, and I doubt if you will recognize me rolling down Broadway in New York City. By the way, I am not Johnny Five. I am my own individual.;robot;cartoon;expressions;same but different;1;art;culture;nice;display
3;571889771;cartoon robot;"he word ""robot"" itself comes from a work of fiction, Karel Čapek's play, R.U.R. ...... featured in a cartoon series of the same name, around the same time as the While most kids think their own problems are the end of the world, there's one girl whose problems really are the end of the world.""My Life as a Teenage Robot"" ..";robot;funny robot;colors ;cables ;1;jewelry ;heart;butterfly ;horse
3;696137917;Army Operations.;Being a retired soldier I wish to go through my past experience in service. I was a combatant in the services and was in the services for a period of 15 years. I attended too wars staying with the ground support force. Our nights during those days were so arousing and admiring as the operation went on till the day of cease fire. The cease fire declared owing to the devastating condition of the enemy force. We has a gala night immediately after the cease fire and who ever wants to go on leave were granted a short leave to visit their family. Returning from leave all were called for a briefing by the authorities concerned and assigned with new projects to take up to protect the interest of the nation. All were very happy to learn about the new program and were very eagerly took up their assignments We had a lot of nice moments in those days in creating a new era for the nation.;antenna;communications;robotics;space;1;painting;birdwatching;fancy;book reading
3;777890013;;;robot;animated;cartoon;fun;1;objects;different;colorful;simple
3;804849221;;;robote;robote;robote;robote;1;butterfly;butterfly;butterfly;butterfly
3;823149007;images;;robo;likes;smile;ok;1;frock;image;bell;car
3;843721033;;;smily ;moods;thoughts;verity;1;art;realstic;creative;bold
3;858490600;My first job;This was the time when I was in my initial bachelor days. I fell in love with one of my work colleagues. She was a close friend of mine. I loved and liked her very much. One day I proposed her for marriage. She accepted my proposal and I felt very much happy for this. This was the most satisfying moment of my life.;hook;chocolate;antenna;robot;1;horse;tree;frog;chair
3;895637763;;;Robot;alien;Different species;Brown;1;Shopping;Colorful;Full of life;Lots of colors
3;901407652;The Road of 2089;It was a dark night and in the middle of an Arizona desert, a road sliced through the peacefulness. The road was ancient and worn. It was no longer flat and because of the past work done to repair the pot holes, driving on the road felt like a roller coaster. No one used the road anymore, because no one took the road of 2089 to visit the little town anymore. For anyone who had the patience or will to drive down the road of 2089, they knew they would be rewarded. But only a few drove the tiresome drive, since there were never any gas stations or hotels to aid in the travel. But what type of person would drive all the way to the end of road 2089? The type you would never expect. The old and weary were common to make the long trip. And surprisingly a lot of young teenagers would make the trip as well. A few adults that had lost their sense of direction, but never the young children. For what happened when they reached the end of road 2089, no one really knew. The cars never made it back and neither did the visitors. But at the end of road 2089 there is a rather large house, with a garage big enough to hold twice as many cars as it should and an the large wooden doors will open for you to be greeted by a tiny woman with large spectacles and a small smirk on her face. Once you are lead inside the home you find that it's a typical home. A home where the last thing you'll see is the tiny woman with her smirk. Once she's done, you will be done as well. Lay to rest among the poor souls who have also shared the same struggles as you. For one thing is known about the road of 2089, there is no turning back.;robots;metal;antennas ;future;1;life;hearts;paintings;animals
3;931290631;;;Icon;Robots;Cartoon;Technology;1;Nature;Animals;Art;Decorative
3;953603186;;;Robert;Angry;sad;Arg;1;Hourse;Love;butterfly;Stars
4;17047811;;;robots;futuristic;Jetsons;cartoons;1;random;colorful;no relation;repetitive
4;183081406;barry the bat;;nice;nice;nice;nice;1;nice;nice;nice;nice
4;189683366;;;Emoji;Robot;silly;expressive;1;nature;abstract;colorful;variety
4;202465109;;;robot;robot attenana;single eye robot;robot with round head;1;frog;horse;butterfly;chair
4;205598174;;;robort;some simboll;computer;some sing;1;place;travale place;love sign;some simboll
4;223770505;;;robot gifs;robot emoji;robot pics;emoticon;1;gifs;memes;pics;objects
4;281293693;kids;"N a great forest, high up among the green boughs, lived Bird Brown-Breast, and his bright-eyed little mate. They were now very happy; their home was done, the four blue eggs lay in the soft nest, and the little wife sat still and patient on them, while the husband sang, and told her charming tales, and brought her sweet berries and little worms. Things went smoothly on, till one day she found in the nest a little white egg, with a golden band about it. ""My friend,"" cried she, ""come and see! Where can this fine egg have come from? My four are here, and this also; what think you of it?"" The husband shook his head gravely, and said, ""Be not alarmed, my love; it is doubtless some good Fairy who has given us this, and we shall find some gift within; do not let us touch it, but do you sit carefully upon it, and we shall see in time what has been sent us.""";funny;kids;science;communication;1;animal;dressing;furniture;insects
4;284026971;An evening in a hotel;I was hanging around in the hotel lobby waiting for few more friends to join in when this thing happened. An actress fully clad in evening clothes passed us. Wondering as to what was going on I looked around and was flabbergasted at the site. Other crew members moved around ready with camera, lighting and were getting ready to take the shot. I was completely enamored by her professional yet naive smile and my thoughts were no longer with my friends. She captured my attention and I suddenly felt lost in the crowd. Not sure as to how to draw her attention, I decided to send a note of appreciation attaching a flower from the table nearby. I could not wait to see the reaction in her face as she opened the paper the waiter handed over. Her eyes slowly moved up from the paper and wandered around the crowd, I caught her attention with a nod and a thumps up sign. She gave a positive sign and from then on our date was made. We regularly met at the hotel and planned to see more of each other. We knew we were made for one another and finally decided to take the plunge. Our life was literally made! We decided to get married and come here for the honeymoon.;robot;machine;slot machine;electronic devices;1;artifacts;articles;collections;designer items
4;297711135;ittpyfotr6;;hgfrs;hgkyugku;iufymm;hgfm;1; these images;at you associa;rite a few;Please w
4;431267884;The daydreamer;"Jennifer was a very tall child. She was so tall for her young age of 8 years old that some other children who make fun of her. Jennifer came from a very loving family who adored her regardless of her height. In the first grade Jennifer was already at height of 4'9. Jennifer had a hard time finding chairs and tables that were of her height. Most times at school teachers would have to find her a desk and chair that was usually suitable for older children. One day on the play ground all of her friends were going down the slide; and Jennifer desperately wanted to slide too. So despite her above average height; Jennifer decided to slide down anyway. Well she hurt herself pretty badly and ended up in the hospital. The next when she arrived back at school Jennifer was in a wheel chair with two broken legs and a broken arm. The kids at school did not laugh at her. In fact they all greeted her with cards that they made themselves, candies, and flowers. Jennifer because the class leader and was allowed 5 minutes extra play time everyday. Jennifer had to stay in the wheel chair for the remainder of the school year and her height was no longer the focus. Everyone in school treated her like a queen. Opening doors, pushing her around in the wheel chair and helping her with everything. Jennifer loved it.";animation;cartoon;video games;facebook;1;pininterest;ebay;amazon;facebook
4;544196380;;;robot;cartoon;modern;signal;1;accessories;beauty;fashion;interest
4;667255748;;;cartoons;colorful;aliens;illustrations;1;creations;display;symbols;experiences
4;699672453;Fishing in the River;Once a upon a time there was a man fishing in the river. When suddenly he caught a golden bottle. He got curious. He opened the bottle. He saw another golden coin. It was mentioned in the town that the King was looking for his golden coin inside the golden bottle. The fisherman was hesitant to return the item, but was convinced to return it. The town folks said the bottle has magic. It is said that anyone who caught the bottle will not be able to walk. The cost of gold was expensive, so even he the fisherman couldn't walk in exchange for it, he was still interested. With good values he went to the palace and return the bottle. The King was very pleased to see him and thank him for the fisherman's good heart. The king gave the fisherman a more golden coins. He fed the fisherman, and let him stay in the palace for 1 week.;robot;modern;technology;signal;1;accessories;fashion;feminine ;art
5;40525537;;;androids;chocolate;artificial;hokey;1;pets;camping;art;retro
5;89441853;;;robot;doll;funny ;brown;1;butte fly;hartin;tree;girl
5;142759601;;;cartoons;robots;communication;signal;1;animals;insects;tatoo;nature
5;290074569;;;Robots;automatic mechanical devices;mobility;modern society;1;arts;nature;trends;furnitures
5;331760139;;;Cartoon;Robot;Animated;Character;1;Life;Random;Beauty;Interests
5;383906280;;;computer hardware;robot;computer games;graphices;1;heart;horse;butterfly;tree
5;416937169;;;aliens;creature;space;unique;1;heart;plant;colorful;different
5;420877346;;;robots;old timee television sets;radios;toasters;1;voodoo;witchcraft;forests;mythology
